Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016/1/4,2016,1,4,0,1,1??-16,101.03,101.77,100.52,101.67,1853500,92.94,0,92.94,92.94
2016/1/5,2016,1,5,1,1,1??-16,102.51,102.53,99.96,101.32,1589200,92.62,-0.003442315,92.78,92.78
2016/1/6,2016,1,6,2,1,1??-16,99.83,101.39,99.64,100.3,1885300,91.68,-0.010067378,92.41333333,92.41333333
2016/1/7,2016,1,7,3,1,1??-16,98.84,100.07,97.6,97.79,2002700,89.39,-0.025024725,91.6575,91.6575
2016/1/8,2016,1,8,4,1,1??-16,98.04,99.22,97.33,97.85,2541000,89.44,0.000613495,91.214,91.214
2016/1/11,2016,1,11,0,2,2??-16,98.37,99.09,97.63,98.44,2389200,89.98,0.006029518,91.00833333,91.00833333
2016/1/12,2016,1,12,1,2,2??-16,99.5,100.01,98.3,99.89,1736500,91.31,0.014729772,91.05142857,91.05142857
2016/1/13,2016,1,13,2,2,2??-16,100.59,102.32,97.55,98.01,2652800,89.59,-0.018820659,90.86875,90.86875
2016/1/14,2016,1,14,3,2,2??-16,98.24,100.34,97.51,99.79,1928500,91.22,0.018161473,90.90777778,90.90777778
2016/1/15,2016,1,15,4,2,2??-16,99.41,99.79,96.51,97.39,1584700,89.02,-0.024050501,90.719,90.719
2016/1/19,2016,1,19,1,3,3??-16,98.48,98.6,96.63,98.18,1822000,89.75,0.00811181,90.63090909,90.63090909
2016/1/20,2016,1,20,2,3,3??-16,96.57,98.81,96,97.82,2844600,89.42,-0.003666776,90.53,90.53
2016/1/21,2016,1,21,3,3,3??-16,98.25,98.79,97.19,97.96,1653200,89.54,0.001431221,90.45384615,90.45384615
2016/1/22,2016,1,22,4,3,3??-16,99.4,99.69,97.64,98.09,1746800,89.66,0.001326933,90.39714286,90.39714286
2016/1/25,2016,1,25,0,4,4??-16,97.6,98.15,96,96.13,1400000,87.87,-0.019981689,90.035,90.22866667
2016/1/26,2016,1,26,1,4,4??-16,96.52,98.38,95.94,98.14,1350100,89.71,0.020909085,89.82714286,90.19625
2016/1/27,2016,1,27,2,4,4??-16,97.81,99.63,97.74,98.1,2132200,89.67,-0.000407453,89.68357143,90.16529412
2016/1/28,2016,1,28,3,4,4??-16,98.64,99.2,97.91,98.2,1815000,89.76,0.001019261,89.71,90.14277778
2016/1/29,2016,1,29,4,4,4??-16,96.77,100.02,95.6,100,3435200,91.41,0.018329896,89.85071429,90.20947368
2016/2/1,2016,2,1,0,5,5??-16,99.83,100.98,98.37,100.53,2402500,91.89,0.005300031,89.98714286,90.2935
2016/2/2,2016,2,2,1,5,5??-16,97.83,99.26,97.78,98.15,2462400,89.72,-0.023674379,89.87357143,90.26619048
2016/2/3,2016,2,3,2,5,5??-16,99.33,103.3,98.95,103.29,2563200,94.42,0.052368622,90.21857143,90.455
2016/2/4,2016,2,4,3,5,5??-16,103.35,106.99,103.35,105.53,2169200,96.46,0.021686756,90.59285714,90.71608696
2016/2/5,2016,2,5,4,5,5??-16,104.97,105.52,103.68,105.1,2021200,96.07,-0.004074719,91.09642857,90.93916667
2016/2/8,2016,2,8,0,6,6??-16,104.52,104.8,100.47,101.93,2926200,93.17,-0.030161696,91.34071429,91.0284
2016/2/9,2016,2,9,1,6,6??-16,101.77,104.2,101.49,103.82,1592800,94.9,0.018541917,91.73214286,91.17730769
2016/2/10,2016,2,10,2,6,6??-16,104.31,105.29,103,103.37,1107300,94.49,-0.004334214,92.08571429,91.3
2016/2/11,2016,2,11,3,6,6??-16,101.74,103.16,101.26,102.06,1594100,93.29,-0.012673051,92.345,91.37107143
2016/2/12,2016,2,12,4,6,6??-16,102.76,103.95,102.21,103.83,978100,94.91,0.017342973,92.84785714,91.49310345
2016/2/16,2016,2,16,1,7,7??-16,105.04,105.04,103.46,104,1878700,95.07,0.00163712,93.23071429,91.61233333
2016/2/17,2016,2,17,2,7,7??-16,104.87,105.4,104.32,104.5,1449200,95.52,0.004807671,93.64857143,91.7383871
2016/2/18,2016,2,18,3,7,7??-16,104.31,104.86,104.08,104.5,995300,95.52,0,94.06,91.8565625
2016/2/19,2016,2,19,4,7,7??-16,104.41,104.56,102.97,103.31,1354300,94.44,-0.011387568,94.27642857,91.93484848
2016/2/22,2016,2,22,0,8,8??-16,103.89,105.05,103.57,104.22,1273100,95.27,0.008808571,94.51785714,92.03294118
2016/2/23,2016,2,23,1,8,8??-16,103.53,103.81,101.6,102.22,1294600,93.44,-0.01919017,94.78357143,92.07314286
