Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2018/1/2,2018,1,2,1,0,2018-00,154.76,156.35,153.31,156.19,1067600,150.09,0,150.09,150.09,green
2018/1/3,2018,1,3,2,0,2018-00,156.03,157.69,155.68,157.5,1427900,151.35,0.008387296,150.72,150.72,green
2018/1/4,2018,1,4,3,0,2018-00,159.39,161.34,158.87,159.97,1896800,153.73,0.015682457,151.7233333,151.7233333,green
2018/1/5,2018,1,5,4,0,2018-00,161.77,162.34,160.56,161.37,1699500,155.07,0.008751811,152.56,152.56,green
2018/1/8,2018,1,8,0,1,1??-18,161.11,161.65,160.46,161.31,936700,155.01,-0.000371946,153.05,153.05,green
2018/1/9,2018,1,9,1,1,1??-18,162.34,164.49,161.96,162.88,3366400,156.52,0.009732856,153.6283333,153.6283333,green
2018/1/10,2018,1,10,2,1,1??-18,162.7,163.17,161.5,162.62,2416800,156.27,-0.001596336,154.0057143,154.0057143,green
2018/1/11,2018,1,11,3,1,1??-18,164.11,166.08,163.31,163.81,2007100,157.42,0.007317684,154.4325,154.4325,green
2018/1/12,2018,1,12,4,1,1??-18,164.06,165.12,163.25,164.15,2644400,157.74,0.00207562,154.8,154.8,green
2018/1/16,2018,1,16,1,2,2??-18,164.5,165.23,160.22,162.1,2754100,155.77,-0.012488575,154.897,154.897,green
2018/1/17,2018,1,17,2,2,2??-18,163.55,164.23,161.46,163.46,1751900,157.08,0.008389965,155.0954545,155.0954545,green
2018/1/18,2018,1,18,3,2,2??-18,162.98,164.51,161.4,161.5,1746700,155.2,-0.011990797,155.1041667,155.1041667,green
2018/1/19,2018,1,19,4,2,2??-18,162.2,162.35,161.29,161.88,1678800,155.56,0.002353171,155.1392308,155.1392308,red
2018/1/22,2018,1,22,0,3,3??-18,161.57,161.7,159.61,160.62,1523400,154.35,-0.007783703,155.0828571,155.0828571,red
2018/1/23,2018,1,23,1,3,3??-18,159.66,160.81,158.51,159.23,1775300,153.02,-0.008654113,155.2921429,154.9453333,red
2018/1/24,2018,1,24,2,3,3??-18,159.1,162.04,158.98,160.87,3701100,154.59,0.010299665,155.5235714,154.923125,red
2018/1/25,2018,1,25,3,3,3??-18,166.26,166.95,161.8,163.35,3391800,156.97,0.015416116,155.755,155.0435294,red
2018/1/26,2018,1,26,4,3,3??-18,163.69,166.24,162.18,165.69,1870000,159.22,0.014325102,156.0514286,155.2755556,red
2018/1/29,2018,1,29,0,4,4??-18,165.2,166.13,160.71,162.83,2982800,156.47,-0.017261222,156.1557143,155.3384211,red
2018/1/30,2018,1,30,1,4,4??-18,162.7,162.94,160.66,160.72,2007700,154.45,-0.012958232,156.0078571,155.294,red
2018/1/31,2018,1,31,2,4,4??-18,161.43,162.33,160.04,161.49,3570500,155.19,0.004791029,155.9307143,155.2890476,red
2018/2/1,2018,2,1,3,4,4??-18,159.84,160.9,158.93,159.83,1520800,153.59,-0.010279511,155.6571429,155.2118182,red
2018/2/2,2018,2,2,4,4,4??-18,156.72,157.35,154.95,155.05,2086200,149,-0.029906569,155.0328571,154.9417391,red
2018/2/5,2018,2,5,0,5,5??-18,154.02,156.84,150.03,150.32,2593900,144.45,-0.030506365,154.2242857,154.5045833,red
2018/2/6,2018,2,6,1,5,5??-18,150.15,156.39,148.02,155.31,3718100,149.25,0.033196005,153.665,154.2944,red
2018/2/7,2018,2,7,2,5,5??-18,154.56,154.78,150,150.01,2248000,144.15,-0.034125424,152.8757143,153.9042308,red
2018/2/8,2018,2,8,3,5,5??-18,149.88,150.62,144.05,144.07,2054300,138.45,-0.039597288,151.6535714,153.3318519,red
2018/2/9,2018,2,9,4,5,5??-18,145.29,150.63,144.7,149.48,3116200,143.65,0.037551153,150.8892857,152.9860714,red
2018/2/12,2018,2,12,0,6,6??-18,150.87,154.98,150.5,153.75,3099700,147.75,0.028565553,150.5128571,152.8055172,green
2018/2/13,2018,2,13,1,6,6??-18,152.73,154.45,152.08,153.83,1402800,147.83,0.000520507,150.03,152.6396667,green
2018/2/14,2018,2,14,2,6,6??-18,152.25,156.24,152,155.07,1622000,149.02,0.00806097,149.4621429,152.5229032,green
2018/2/15,2018,2,15,3,6,6??-18,156.27,156.31,153.12,155.8,1634200,149.72,0.004707347,148.7835714,152.4353125,green
2018/2/16,2018,2,16,4,6,6??-18,154.55,155.13,153.2,153.61,1589400,147.61,-0.014056385,148.1507143,152.2890909,green
2018/2/20,2018,2,20,1,7,7??-18,152.25,154.26,151.64,153.6,2590500,147.6,-6.52E-05,147.6614286,152.1511765,green
2018/2/21,2018,2,21,2,7,7??-18,153.47,155.74,152.74,152.74,1834100,146.78,-0.005598841,147.0607143,151.9977143,green
2018/2/22,2018,2,22,3,7,7??-18,153.87,154.96,153.14,153.67,1627100,147.67,0.00608882,146.6378571,151.8775,green
2018/2/23,2018,2,23,4,7,7??-18,154.31,155.74,152.55,155.62,1593400,149.55,0.012689402,146.6771429,151.8145946,green
2018/2/26,2018,2,26,0,8,8??-18,155.44,155.98,153.66,155.83,1018600,149.75,0.001349503,147.0557143,151.7602632,red
2018/2/27,2018,2,27,1,8,8??-18,154.9,155.32,153.55,154,1239400,147.99,-0.011743683,146.9657143,151.6635897,red
2018/2/28,2018,2,28,2,8,8??-18,154.15,154.5,149.66,149.75,1541700,143.91,-0.027597325,146.9485714,151.46975,red
2018/3/1,2018,3,1,3,8,8??-18,149.21,150.08,146.59,147.92,1918000,142.15,-0.012220489,147.2128571,151.242439,red
2018/3/2,2018,3,2,4,8,8??-18,147.24,149.98,146.65,149.43,1420600,143.6,0.010208343,147.2092857,151.0604762,red
2018/3/5,2018,3,5,0,9,9??-18,148.81,153.42,148.51,152.74,1852900,146.78,0.022150905,147.14,150.9609302,green
2018/3/6,2018,3,6,1,9,9??-18,153.06,154.67,151.77,153.65,1470000,148.45,0.011420825,147.1842857,150.9038636,green
2018/3/7,2018,3,7,2,9,9??-18,152.55,155.8,152.31,155.1,1821700,149.86,0.009437123,147.2442857,150.8806667,green
2018/3/8,2018,3,8,3,9,9??-18,155.74,158.09,155.44,157.88,2190900,152.54,0.017923733,147.4457143,150.9167391,green
2018/3/9,2018,3,9,4,9,9??-18,157.95,160.18,157.15,160.09,1340300,154.68,0.013997837,147.9507143,150.9968085,green
2018/3/12,2018,3,12,0,10,10??-18,162.65,163.47,160.12,161.11,1787800,155.66,0.006371666,148.5264286,151.0939583,red
2018/3/13,2018,3,13,1,10,10??-18,161.88,161.99,159.07,160.37,1678500,154.95,-0.004593443,149.11,151.1726531,red
2018/3/14,2018,3,14,2,10,10??-18,160.94,161.24,157.48,157.54,1611600,152.21,-0.017646518,149.4342857,151.1934,red
2018/3/15,2018,3,15,3,10,10??-18,157.59,158.43,155.55,155.67,1491600,150.41,-0.011869848,149.4957143,151.1998,red
2018/3/16,2018,3,16,4,10,10??-18,154.65,155.34,153.15,154.32,2276000,149.1,-0.008672282,149.4492857,151.1548,red
2018/3/19,2018,3,19,0,11,11??-18,150.26,152.31,148.55,149.58,2058400,144.52,-0.030715278,149.2014286,150.9706,red
2018/3/20,2018,3,20,1,11,11??-18,150.58,151.14,149.87,150.22,837700,145.14,0.004278451,149.2892857,150.772,red
2018/3/21,2018,3,21,2,11,11??-18,150.6,152.88,149.99,151.71,826700,146.58,0.009918796,149.6057143,150.6034,red
2018/3/22,2018,3,22,3,11,11??-18,150.06,150.67,145.9,146.09,1351300,141.15,-0.037044382,149.4307143,150.296,red
2018/3/23,2018,3,23,4,11,11??-18,146.85,147.55,142.14,142.55,1232100,137.73,-0.024231525,148.7842857,149.9252,red
2018/3/26,2018,3,26,0,12,12??-18,145,146.46,143.67,146.11,1068200,141.17,0.024973752,148.2642857,149.6002,green
2018/3/27,2018,3,27,1,12,12??-18,146.18,147.15,143.15,144.11,856500,139.24,-0.013688408,147.5057143,149.2302,green
