,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,mean_return,volatility
3,2018/1/5,2018,1,5,4,0,2018-00,161.77,162.34,160.56,161.37,1699500,155.07,0.008751811,152.56,152.56,green,0.8205,0.6416876189999999
8,2018/1/12,2018,1,12,4,1,1??-18,164.06,165.12,163.25,164.15,2644400,157.74,0.00207562,154.8,154.8,green,0.3432,0.490880535
12,2018/1/19,2018,1,19,4,2,2??-18,162.2,162.35,161.29,161.88,1678800,155.56,0.0023531710000000003,155.1392308,155.1392308,red,-0.3435,1.046387277
17,2018/1/26,2018,1,26,4,3,3??-18,163.69,166.24,162.18,165.69,1870000,159.22,0.014325102,156.05142859999998,155.2755556,red,0.4724,1.196855589
22,2018/2/2,2018,2,2,4,4,4??-18,156.72,157.35,154.95,155.05,2086200,149.0,-0.029906568999999997,155.0328571,154.94173909999998,red,-1.3124,1.252899557
27,2018/2/9,2018,2,9,4,5,5??-18,145.29,150.63,144.7,149.48,3116200,143.65,0.037551153,150.8892857,152.98607140000001,red,-0.6698,3.857396622
32,2018/2/16,2018,2,16,4,6,6??-18,154.55,155.13,153.2,153.61,1589400,147.61,-0.014056385,148.1507143,152.2890909,green,0.556,1.5384883809999998
36,2018/2/23,2018,2,23,4,7,7??-18,154.31,155.74,152.55,155.62,1593400,149.55,0.012689401999999999,146.6771429,151.8145946,green,0.32775,0.7885029590000001
41,2018/3/2,2018,3,2,4,8,8??-18,147.24,149.98,146.65,149.43,1420600,143.6,0.010208343,147.20928569999998,151.06047619999998,red,-0.8,1.444803274
46,2018/3/9,2018,3,9,4,9,9??-18,157.95,160.18,157.15,160.09,1340300,154.68,0.013997836999999999,147.95071430000002,150.9968085,green,1.4986,0.510827564
51,2018/3/16,2018,3,16,4,10,10??-18,154.65,155.34,153.15,154.32,2276000,149.1,-0.008672282,149.4492857,151.1548,red,-0.7282,0.900132879
56,2018/3/23,2018,3,23,4,11,11??-18,146.85,147.55,142.14,142.55,1232100,137.73,-0.024231525,148.7842857,149.9252,red,-1.5558,2.1267586130000002
65,2018/4/6,2018,4,6,4,13,2018-13,145.39,146.52,142.34,143.18,1188600,138.34,-0.024061087999999998,140.6135714,146.98,green,-0.1442,1.6930958919999999
70,2018/4/13,2018,4,13,4,14,2018-14,147.35,147.76,145.81,146.53,716500,141.58,-0.002654417,139.8228571,145.415,green,0.47100000000000003,1.3670510230000001
75,2018/4/20,2018,4,20,4,15,2018-15,151.26,151.36,149.65,150.68,974700,145.59,-0.005806212,142.77928569999997,145.3236,green,0.5770000000000001,2.077268519
80,2018/4/27,2018,4,27,4,16,2018-16,156.0,156.22,151.78,153.23,1734000,148.05,-0.0176934,145.1,145.4008,green,0.3656,2.7217442569999997
85,2018/5/4,2018,5,4,4,17,2018-17,151.62,155.21,151.33,154.57,1066500,149.34,0.011318951,147.06857140000002,145.3856,red,0.1788,1.06333988
90,2018/5/11,2018,5,11,4,18,2018-18,156.93,158.99,156.52,157.63,1166100,152.3,0.0036929259999999996,148.3564286,145.7804,green,0.3948,0.7344295059999999
95,2018/5/18,2018,5,18,4,19,2018-19,159.27,160.36,159.14,159.54,1882500,154.15,-0.002001808,150.92,146.3264,green,0.2416,0.311519341
100,2018/5/25,2018,5,25,4,20,2018-20,156.87,157.45,155.55,157.07,1094600,151.76,-0.002730196,152.69357140000002,146.2902,green,-0.3102,0.549457187
104,2018/6/1,2018,6,1,4,21,2018-21,157.6,158.53,156.61,157.8,1025200,152.46,0.009855378,152.67142859999998,146.6388,green,0.12975,1.911297705
109,2018/6/8,2018,6,8,4,22,2018-22,159.0,160.09,158.38,159.83,1079700,155.23,0.000375544,153.085,148.1924,green,0.3684,1.449991655
114,2018/6/15,2018,6,15,4,23,2018-23,161.08,161.08,159.03,160.26,2856700,155.65,-0.00798509,154.1528571,149.866,green,0.0556,0.672897318
119,2018/6/22,2018,6,22,4,24,2018-24,156.82,158.98,156.71,158.14,1341000,153.59,0.014563432,154.5321429,151.0554,red,-0.2588,1.3549950919999998
124,2018/6/29,2018,6,29,4,25,2018-25,157.33,159.77,157.15,158.15,1391000,153.6,0.009382136999999999,153.02142859999998,151.5566,red,0.0082,1.303835956
128,2018/7/6,2018,7,6,4,26,2018-26,161.99,165.5,161.52,164.04,1642500,159.32,0.013343175,152.865,152.4672,green,0.92775,1.608987751
133,2018/7/13,2018,7,13,4,27,2018-27,165.15,167.72,164.81,166.8,1501800,162.0,0.0054855780000000005,156.0021429,153.7436,green,0.3384,1.03715563
138,2018/7/20,2018,7,20,4,28,2018-28,163.18,166.35,163.15,165.58,1326500,160.81,0.00193646,159.49928569999997,154.94,red,-0.1456,0.544694685
143,2018/7/27,2018,7,27,4,29,2018-29,166.52,167.93,165.57,166.43,1470800,161.64,-0.00012025200000000001,160.73071430000002,155.665,green,0.1106,1.423176658
148,2018/8/3,2018,8,3,4,30,2018-30,163.13,164.42,163.05,164.21,1050100,160.29,0.006836705,160.52428569999998,156.319,red,-0.1628,1.097005333
153,2018/8/10,2018,8,10,4,31,2018-31,155.83,155.83,154.13,154.79,1303700,151.09,-0.015017685,157.9792857,156.5394,red,-1.1640000000000001,1.6061091180000002
158,2018/8/17,2018,8,17,4,32,2018-32,154.16,156.25,154.16,156.04,1662800,152.31,0.009771609,154.6078571,156.2356,red,0.1624,0.625514029
163,2018/8/24,2018,8,24,4,33,2018-33,155.41,156.51,154.52,156.21,708000,152.48,0.008457239,152.2485714,155.904,green,0.0292,1.336054153
168,2018/8/31,2018,8,31,4,34,2018-34,158.15,159.06,157.46,158.19,1057800,154.41,0.00190002,153.06,156.1186,green,0.255,0.818522449
172,2018/9/7,2018,9,7,4,35,2018-35,156.34,156.37,154.57,155.03,1225600,151.33,-0.01046778,153.3028571,156.2062,red,-0.50125,0.779367425
