Item,Weekday,count
Adjustment,Wednesday,1
Afternoon with the baker,Sunday,14
Afternoon with the baker,Saturday,12
Afternoon with the baker,Friday,7
Afternoon with the baker,Monday,5
Afternoon with the baker,Thursday,2
Afternoon with the baker,Tuesday,2
Afternoon with the baker,Wednesday,2
Alfajores,Sunday,70
Alfajores,Saturday,67
Alfajores,Friday,59
Alfajores,Thursday,57
Alfajores,Tuesday,43
Alfajores,Wednesday,41
Alfajores,Monday,32
Argentina Night,Saturday,5
Argentina Night,Sunday,1
Argentina Night,Thursday,1
Art Tray,Thursday,8
Art Tray,Sunday,7
Art Tray,Tuesday,6
Art Tray,Wednesday,6
Art Tray,Saturday,5
Art Tray,Friday,4
Art Tray,Monday,2
Bacon,Sunday,1
Baguette,Saturday,33
Baguette,Tuesday,23
Baguette,Wednesday,23
Baguette,Friday,21
Baguette,Sunday,21
Baguette,Thursday,21
Baguette,Monday,10
Bakewell,Tuesday,13
Bakewell,Sunday,11
Bakewell,Monday,8
Bakewell,Saturday,8
Bakewell,Friday,3
Bakewell,Thursday,3
Bakewell,Wednesday,2
Bare Popcorn,Thursday,4
Bare Popcorn,Wednesday,1
Basket,Saturday,3
Basket,Sunday,3
Bowl Nic Pitt,Saturday,1
Bowl Nic Pitt,Tuesday,1
Bread,Saturday,760
Bread,Friday,527
Bread,Sunday,473
Bread,Thursday,450
Bread,Wednesday,405
Bread,Monday,360
Bread,Tuesday,350
Bread Pudding,Wednesday,3
Bread Pudding,Tuesday,1
Brioche and salami,Friday,1
Brioche and salami,Sunday,1
Brioche and salami,Thursday,1
Brownie,Saturday,111
Brownie,Friday,78
Brownie,Sunday,61
Brownie,Thursday,52
Brownie,Wednesday,30
Brownie,Monday,24
Brownie,Tuesday,23
Cake,Saturday,246
Cake,Sunday,167
Cake,Thursday,141
Cake,Tuesday,139
Cake,Wednesday,123
Cake,Friday,120
Cake,Monday,89
Caramel bites,Saturday,3
Cherry me Dried fruit,Saturday,1
Cherry me Dried fruit,Thursday,1
Cherry me Dried fruit,Wednesday,1
Chicken Stew,Thursday,26
Chicken Stew,Saturday,22
Chicken Stew,Friday,21
Chicken Stew,Tuesday,19
Chicken Stew,Wednesday,14
Chicken Stew,Monday,13
Chicken Stew,Sunday,8
Chicken sand,Sunday,1
Chimichurri Oil,Friday,1
Chimichurri Oil,Thursday,1
Chocolates,Saturday,3
Chocolates,Wednesday,3
Chocolates,Friday,1
Chocolates,Monday,1
Chocolates,Sunday,1
Chocolates,Tuesday,1
Christmas common,Thursday,5
Christmas common,Tuesday,2
Christmas common,Wednesday,2
Christmas common,Saturday,1
Christmas common,Sunday,1
Coffee,Saturday,1103
Coffee,Friday,854
Coffee,Sunday,825
Coffee,Tuesday,710
Coffee,Monday,681
Coffee,Thursday,670
Coffee,Wednesday,628
Coffee granules ,Saturday,3
Coffee granules ,Monday,2
Coffee granules ,Friday,1
Coffee granules ,Sunday,1
Coke,Saturday,45
Coke,Wednesday,34
Coke,Friday,25
Coke,Tuesday,24
Coke,Monday,23
Coke,Thursday,21
Coke,Sunday,13
Cookies,Friday,94
Cookies,Thursday,85
Cookies,Monday,79
Cookies,Saturday,79
Cookies,Tuesday,77
Cookies,Sunday,63
Cookies,Wednesday,63
Crepes,Sunday,4
Crepes,Friday,1
Crepes,Wednesday,1
Crisps,Thursday,4
Crisps,Wednesday,4
Crisps,Saturday,3
Crisps,Sunday,2
Crisps,Monday,1
Drinking chocolate spoons ,Saturday,2
