Weekday,Item,count
Friday,Afternoon with the baker,7
Friday,Alfajores,59
Friday,Art Tray,4
Friday,Baguette,21
Friday,Bakewell,3
Friday,Bread,527
Friday,Brioche and salami,1
Friday,Brownie,78
Friday,Cake,120
Friday,Chicken Stew,21
Friday,Chimichurri Oil,1
Friday,Chocolates,1
Friday,Coffee,854
Friday,Coffee granules ,1
Friday,Coke,25
Friday,Cookies,94
Friday,Crepes,1
Friday,Duck egg,2
Friday,Dulce de Leche,2
Friday,Eggs,4
Friday,Ella's Kitchen Pouches,4
Friday,Extra Salami or Feta,6
Friday,Fairy Doors,1
Friday,Farm House,51
Friday,Focaccia,2
Friday,Frittata,8
Friday,Fudge,28
Friday,Gingerbread syrup,4
Friday,Granola,1
Friday,Half slice Monster ,1
Friday,Hearty & Seasonal,10
Friday,Honey,1
Friday,Hot chocolate,69
Friday,Jam,26
Friday,Jammie Dodgers,12
Friday,Juice,48
Friday,Keeping It Local,9
Friday,Lemon and coconut,1
Friday,Medialuna,93
Friday,Mighty Protein,1
Friday,Mineral water,28
Friday,Mortimer,1
Friday,Muesli,4
Friday,Muffin,43
Friday,My-5 Fruit Shoot,2
Friday,NONE,111
Friday,Panatone,1
Friday,Pastry,118
Friday,Pick and Mix Bowls,2
Friday,Raspberry shortbread sandwich,1
Friday,Salad,16
Friday,Sandwich,134
Friday,Scandinavian,41
Friday,Scone,71
Friday,Smoothies,5
Friday,Soup,63
Friday,Spanish Brunch,19
Friday,Tartine,4
Friday,Tea,218
Friday,The BART,1
Friday,The Nomad,6
Friday,Tiffin,37
Friday,Toast,63
Friday,Truffles,33
Friday,Valentine's card,1
Friday,Vegan Feast,1
Friday,Vegan mincepie,9
Monday,Afternoon with the baker,5
Monday,Alfajores,32
Monday,Art Tray,2
Monday,Baguette,10
Monday,Bakewell,8
Monday,Bread,360
Monday,Brownie,24
Monday,Cake,89
Monday,Chicken Stew,13
Monday,Chocolates,1
Monday,Coffee,681
Monday,Coffee granules ,2
Monday,Coke,23
Monday,Cookies,79
Monday,Crisps,1
Monday,Drinking chocolate spoons ,1
Monday,Dulce de Leche,1
Monday,Eggs,2
Monday,Ella's Kitchen Pouches,3
Monday,Empanadas,3
Monday,Extra Salami or Feta,1
Monday,Farm House,52
Monday,Focaccia,4
Monday,Frittata,4
Monday,Fudge,20
Monday,Granola,2
Monday,Hearty & Seasonal,14
Monday,Hot chocolate,49
Monday,Jam,16
Monday,Jammie Dodgers,14
Monday,Juice,41
Monday,Keeping It Local,10
Monday,Kids biscuit,3
Monday,Lemon and coconut,3
Monday,Medialuna,72
Monday,Mighty Protein,1
Monday,Mineral water,12
Monday,Muffin,63
Monday,My-5 Fruit Shoot,2
Monday,NONE,70
Monday,Pastry,105
Monday,Pick and Mix Bowls,1
Monday,Salad,11
Monday,Sandwich,101
Monday,Scandinavian,17
Monday,Scone,27
Monday,Smoothies,4
Monday,Soup,45
Monday,Spanish Brunch,11
Monday,Tartine,6
Monday,Tea,193
Monday,The Nomad,5
Monday,Tiffin,3
Monday,Toast,38
Monday,Truffles,29
Monday,Vegan mincepie,5
Saturday,Afternoon with the baker,12
Saturday,Alfajores,67
Saturday,Argentina Night,5
Saturday,Art Tray,5
Saturday,Baguette,33
Saturday,Bakewell,8
Saturday,Basket,3
Saturday,Bowl Nic Pitt,1
Saturday,Bread,760
Saturday,Brownie,111
Saturday,Cake,246
Saturday,Caramel bites,3
Saturday,Cherry me Dried fruit,1
Saturday,Chicken Stew,22
Saturday,Chocolates,3
Saturday,Christmas common,1
Saturday,Coffee,1103
Saturday,Coffee granules ,3
Saturday,Coke,45
Saturday,Cookies,79
Saturday,Crisps,3
Saturday,Drinking chocolate spoons ,2
Saturday,Duck egg,5
Saturday,Dulce de Leche,1
Saturday,Eggs,8
Saturday,Ella's Kitchen Pouches,1
Saturday,Extra Salami or Feta,12
Saturday,Fairy Doors,1
Saturday,Farm House,76
Saturday,Focaccia,25
Saturday,Frittata,39
Saturday,Fudge,34
Saturday,Gingerbread syrup,2
Saturday,Granola,9
Saturday,Half slice Monster ,2
Saturday,Hearty & Seasonal,18
Saturday,Honey,4
Saturday,Hot chocolate,146
Saturday,Jam,39
Saturday,Jammie Dodgers,31
Saturday,Juice,85
Saturday,Keeping It Local,7
Saturday,Kids biscuit,4
Saturday,Lemon and coconut,1
Saturday,Medialuna,143
Saturday,Mighty Protein,3
Saturday,Mineral water,27
Saturday,Mortimer,1
Saturday,Muffin,93
Saturday,My-5 Fruit Shoot,4
Saturday,NONE,198
Saturday,Nomad bag,5
Saturday,Panatone,2
Saturday,Pastry,166
Saturday,Pick and Mix Bowls,2
Saturday,Pintxos,6
Saturday,Postcard,10
Saturday,Raspberry shortbread sandwich,1
Saturday,Salad,22
Saturday,Sandwich,161
Saturday,Scandinavian,118
Saturday,Scone,146
Saturday,Smoothies,19
Saturday,Soup,50
Saturday,Spanish Brunch,47
Saturday,Tacos/Fajita,8
Saturday,Tartine,9
Saturday,Tea,288
Saturday,The Nomad,24
Saturday,Tiffin,35
Saturday,Toast,53
Saturday,Truffles,46
Saturday,Tshirt,21
Saturday,Valentine's card,7
Saturday,Vegan Feast,10
Saturday,Vegan mincepie,11
Saturday,Victorian Sponge,1
Sunday,Afternoon with the baker,14
Sunday,Alfajores,70
Sunday,Argentina Night,1
Sunday,Art Tray,7
Sunday,Bacon,1
Sunday,Baguette,21
Sunday,Bakewell,11
Sunday,Basket,3
Sunday,Bread,473
Sunday,Brioche and salami,1
Sunday,Brownie,61
Sunday,Cake,167
Sunday,Chicken Stew,8
Sunday,Chicken sand,1
Sunday,Chocolates,1
Sunday,Christmas common,1
Sunday,Coffee,825
Sunday,Coffee granules ,1
Sunday,Coke,13
Sunday,Cookies,63
Sunday,Crepes,4
Sunday,Crisps,2
Sunday,Drinking chocolate spoons ,1
Sunday,Duck egg,3
Sunday,Dulce de Leche,4
Sunday,Eggs,3
Sunday,Ella's Kitchen Pouches,2
Sunday,Empanadas,1
Sunday,Extra Salami or Feta,8
Sunday,Farm House,52
Sunday,Focaccia,6
Sunday,Frittata,16
Sunday,Fudge,27
Sunday,Gingerbread syrup,1
Sunday,Granola,8
Sunday,Half slice Monster ,2
Sunday,Hearty & Seasonal,23
Sunday,Hot chocolate,104
Sunday,Jam,24
Sunday,Jammie Dodgers,31
Sunday,Juice,55
Sunday,Keeping It Local,10
Sunday,Kids biscuit,4
Sunday,Medialuna,134
Sunday,Mighty Protein,4
Sunday,Mineral water,23
Sunday,Muesli,2
Sunday,Muffin,63
Sunday,My-5 Fruit Shoot,6
Sunday,NONE,138
Sunday,Pastry,124
Sunday,Pick and Mix Bowls,3
Sunday,Raspberry shortbread sandwich,1
Sunday,Salad,10
Sunday,Sandwich,98
Sunday,Scandinavian,27
Sunday,Scone,57
Sunday,Smoothies,25
Sunday,Soup,24
Sunday,Spanish Brunch,54
Sunday,Spread,1
Sunday,Tacos/Fajita,3
Sunday,Tartine,14
Sunday,Tea,171
Sunday,The Nomad,15
Sunday,Tiffin,28
Sunday,Toast,36
Sunday,Truffles,23
Sunday,Vegan Feast,2
Sunday,Vegan mincepie,9
Sunday,Victorian Sponge,4
Thursday,Afternoon with the baker,2
Thursday,Alfajores,57
Thursday,Argentina Night,1
Thursday,Art Tray,8
Thursday,Baguette,21
Thursday,Bakewell,3
Thursday,Bare Popcorn,4
Thursday,Bread,450
Thursday,Brioche and salami,1
Thursday,Brownie,52
Thursday,Cake,141
Thursday,Cherry me Dried fruit,1
Thursday,Chicken Stew,26
Thursday,Chimichurri Oil,1
Thursday,Christmas common,5
Thursday,Coffee,670
Thursday,Coke,21
Thursday,Cookies,85
Thursday,Crisps,4
Thursday,Drinking chocolate spoons ,1
Thursday,Duck egg,1
Thursday,Dulce de Leche,5
Thursday,Eggs,3
Thursday,Ella's Kitchen Pouches,5
Thursday,Empanadas,3
Thursday,Extra Salami or Feta,5
Thursday,Farm House,48
Thursday,Focaccia,9
Thursday,Frittata,8
Thursday,Fudge,21
Thursday,Granola,2
Thursday,Hack the stack,2
Thursday,Hearty & Seasonal,15
Thursday,Hot chocolate,94
Thursday,Jam,16
Thursday,Jammie Dodgers,17
Thursday,Juice,67
Thursday,Keeping It Local,9
Thursday,Lemon and coconut,1
Thursday,Medialuna,67
Thursday,Mineral water,11
Thursday,Mortimer,2
Thursday,Muffin,38
Thursday,My-5 Fruit Shoot,3
Thursday,NONE,73
Thursday,Nomad bag,1
Thursday,Panatone,2
Thursday,Pastry,121
Thursday,Pick and Mix Bowls,2
Thursday,Salad,11
Thursday,Sandwich,103
Thursday,Scandinavian,16
Thursday,Scone,5
Thursday,Siblings,2
Thursday,Smoothies,11
Thursday,Soup,50
Thursday,Spanish Brunch,15
Thursday,Spread,1
Thursday,Tartine,3
Thursday,Tea,183
Thursday,The Nomad,3
Thursday,Tiffin,25
Thursday,Toast,53
Thursday,Truffles,23
Thursday,Valentine's card,3
Thursday,Vegan mincepie,7
Tuesday,Afternoon with the baker,2
Tuesday,Alfajores,43
Tuesday,Art Tray,6
Tuesday,Baguette,23
Tuesday,Bakewell,13
Tuesday,Bowl Nic Pitt,1
Tuesday,Bread,350
Tuesday,Bread Pudding,1
Tuesday,Brownie,23
Tuesday,Cake,139
Tuesday,Chicken Stew,19
Tuesday,Chocolates,1
Tuesday,Christmas common,2
Tuesday,Coffee,710
Tuesday,Coke,24
Tuesday,Cookies,77
Tuesday,Drinking chocolate spoons ,1
Tuesday,Eggs,5
Tuesday,Ella's Kitchen Pouches,1
Tuesday,Extra Salami or Feta,3
Tuesday,Farm House,55
Tuesday,Focaccia,4
Tuesday,Frittata,6
Tuesday,Fudge,13
Tuesday,Gift voucher,1
Tuesday,Gingerbread syrup,1
Tuesday,Granola,1
Tuesday,Half slice Monster ,1
Tuesday,Hearty & Seasonal,15
Tuesday,Honey,1
Tuesday,Hot chocolate,59
Tuesday,Jam,12
Tuesday,Jammie Dodgers,9
Tuesday,Juice,29
Tuesday,Keeping It Local,9
Tuesday,Kids biscuit,1
Tuesday,Medialuna,51
Tuesday,Mineral water,17
Tuesday,Muffin,41
Tuesday,NONE,88
Tuesday,Nomad bag,1
Tuesday,Pastry,119
Tuesday,Salad,18
Tuesday,Sandwich,82
Tuesday,Scandinavian,39
Tuesday,Scone,10
Tuesday,Smoothies,5
Tuesday,Soup,54
Tuesday,Spanish Brunch,16
Tuesday,Tartine,5
Tuesday,Tea,194
Tuesday,The Nomad,2
Tuesday,Tiffin,5
Tuesday,Toast,40
Tuesday,Truffles,19
Tuesday,Valentine's card,2
Tuesday,Vegan Feast,2
Tuesday,Vegan mincepie,8
Tuesday,Victorian Sponge,1
Wednesday,Adjustment,1
Wednesday,Afternoon with the baker,2
Wednesday,Alfajores,41
Wednesday,Art Tray,6
Wednesday,Baguette,23
Wednesday,Bakewell,2
Wednesday,Bare Popcorn,1
Wednesday,Bread,405
Wednesday,Bread Pudding,3
Wednesday,Brownie,30
Wednesday,Cake,123
Wednesday,Cherry me Dried fruit,1
Wednesday,Chicken Stew,14
Wednesday,Chocolates,3
Wednesday,Christmas common,2
Wednesday,Coffee,628
Wednesday,Coke,34
Wednesday,Cookies,63
Wednesday,Crepes,1
Wednesday,Crisps,4
Wednesday,Drinking chocolate spoons ,2
Wednesday,Duck egg,1
Wednesday,Eggs,3
Wednesday,Ella's Kitchen Pouches,1
Wednesday,Extra Salami or Feta,3
Wednesday,Farm House,40
Wednesday,Focaccia,4
Wednesday,Fudge,16
Wednesday,Gingerbread syrup,1
Wednesday,Granola,5
Wednesday,Hearty & Seasonal,12
Wednesday,Hot chocolate,69
Wednesday,Jam,16
Wednesday,Jammie Dodgers,11
Wednesday,Juice,44
Wednesday,Keeping It Local,9
Wednesday,Medialuna,56
Wednesday,Mighty Protein,2
Wednesday,Mineral water,18
Wednesday,Mortimer,1
Wednesday,Muesli,2
Wednesday,Muffin,29
Wednesday,My-5 Fruit Shoot,1
Wednesday,NONE,108
Wednesday,Nomad bag,1
Wednesday,Olum & polenta,1
Wednesday,Pastry,103
Wednesday,Pick and Mix Bowls,2
Wednesday,Polenta,1
Wednesday,Raw bars,1
Wednesday,Salad,11
Wednesday,Sandwich,92
Wednesday,Scandinavian,19
Wednesday,Scone,11
Wednesday,Smoothies,8
Wednesday,Soup,56
Wednesday,Spanish Brunch,10
Wednesday,Tartine,6
Wednesday,Tea,188
Wednesday,The Nomad,3
Wednesday,Tiffin,13
Wednesday,Toast,35
Wednesday,Truffles,20
Wednesday,Vegan Feast,1
Wednesday,Vegan mincepie,5
Wednesday,Victorian Sponge,1
